Date,TREMONT,DXY,MXWO,DBC,AGG,JPXN,QQQ,SHY,VIX,GLD,SLVR,EEM,IWM
5/31/2013,0.26%,1.97%,-0.29%,-1.57%,-2.20%,-7.08%,3.51%,-0.15%,18.70%,-6.40%,-0.07878087785,-4.96%,0.03856653045
6/28/2013,-0.70%,-0.29%,-2.64%,-2.86%,-1.76%,2.42%,-2.74%,-0.12%,3.38%,-11.72%,-0.1795783136,-6.77%,-0.008213598537
7/31/2013,0.08%,-2.05%,5.06%,3.13%,0.08%,-0.94%,6.12%,0.14%,-22.60%,7.17%,0.05568448733,1.32%,0.06635709848
8/30/2013,0.12%,0.78%,-2.36%,2.78%,-1.02%,-1.63%,-0.40%,-0.12%,23.48%,5.07%,0.170212428,-2.57%,-0.03210509276
9/30/2013,0.35%,-2.30%,4.70%,-3.43%,0.93%,8.42%,4.42%,0.20%,-2.44%,-4.90%,-0.08655001597,6.95%,0.06021433174
10/31/2013,0.67%,-0.03%,3.76%,-0.04%,0.65%,0.82%,4.84%,0.05%,-18.84%,-0.34%,0.02370211231,4.09%,0.02391216806
11/29/2013,0.50%,0.60%,1.58%,-0.94%,-0.43%,1.29%,3.49%,0.07%,-0.36%,-5.67%,-0.1078661547,-0.25%,0.03880145474
12/31/2013,0.35%,-0.80%,1.99%,0.59%,-0.94%,0.90%,2.57%,-0.22%,0.15%,-3.87%,-0.02181166866,-1.32%,0.01616673477
1/31/2014,0.71%,1.58%,-3.84%,-3.09%,1.53%,-6.92%,-1.94%,0.20%,29.40%,3.36%,-0.009791369129,-9.02%,-0.02813125025
2/28/2014,0.62%,-2.01%,4.70%,4.90%,0.18%,1.31%,4.61%,0.01%,-27.38%,6.08%,0.09667453277,3.32%,0.04668210858
3/31/2014,-0.18%,0.51%,-0.09%,-0.04%,-0.33%,-2.56%,-3.00%,-0.13%,-0.86%,-3.19%,-0.06306648178,3.80%,-0.01009159338
4/30/2014,0.03%,-0.78%,0.83%,1.10%,0.63%,-2.52%,-0.32%,0.08%,-3.44%,0.49%,-0.03516285825,0.78%,-0.03819665456
5/30/2014,0.45%,1.12%,1.61%,-1.45%,0.99%,4.86%,4.39%,0.15%,-16.24%,-3.10%,-0.01462931002,2.91%,0.00782782862
6/30/2014,-0.06%,-0.74%,1.63%,2.09%,-0.25%,3.79%,2.81%,-0.11%,1.48%,6.13%,0.09387374192,1.59%,0.05137746593
7/31/2014,0.29%,2.09%,-1.68%,-4.86%,-0.43%,-0.24%,1.18%,-0.11%,38.19%,-3.70%,-0.008662229332,1.36%,-0.06628602812
8/29/2014,0.40%,1.57%,1.98%,-1.15%,0.96%,-1.58%,4.89%,0.15%,-34.70%,0.38%,-0.06077567237,2.79%,0.04716661153
9/30/2014,0.55%,3.78%,-2.92%,-7.51%,-0.79%,-0.74%,-1.00%,-0.11%,30.85%,-6.38%,-0.1292117315,-8.09%,-0.06385241476
10/31/2014,-0.25%,1.14%,0.57%,-3.95%,0.89%,2.51%,2.61%,0.22%,-15.06%,-3.10%,-0.05465184567,1.41%,0.06385241476
11/28/2014,1.17%,1.64%,1.82%,-8.90%,0.48%,-3.33%,4.45%,0.07%,-5.12%,-0.49%,-0.01429928001,-1.55%,0.001114683931
12/31/2014,0.41%,2.14%,-1.73%,-10.15%,-0.44%,-2.87%,-2.64%,-0.37%,36.49%,1.30%,0,-5.47%,0.0247992058
1/30/2015,1.01%,4.90%,-1.90%,-5.86%,2.03%,1.59%,-2.10%,0.63%,8.82%,8.33%,0.05778439195,-0.69%,-0.03331941742
2/27/2015,0.68%,0.51%,5.53%,4.33%,-1.06%,7.04%,6.97%,-0.33%,-45.23%,-6.09%,-0.02331944235,4.31%,0.05776324386
3/31/2015,0.33%,3.16%,-1.82%,-6.24%,0.21%,1.82%,-2.62%,0.21%,13.64%,-2.18%,0.00422578353,-1.51%,0.01449711561
4/30/2015,-0.42%,-3.89%,2.14%,6.90%,-0.51%,2.71%,1.90%,-0.01%,-4.96%,-0.17%,-0.00483092727,6.63%,-0.02598395015
5/29/2015,0.07%,2.41%,0.05%,-3.22%,-0.62%,1.54%,2.22%,0.00%,-5.00%,0.55%,0.00903892867,-4.19%,0.02211703161
6/30/2015,-0.74%,-1.48%,-2.49%,1.62%,-1.27%,-1.49%,-2.75%,-0.01%,27.55%,-1.53%,-0.05994998441,-3.72%,0.007799034506
7/31/2015,0.79%,1.92%,1.71%,-13.48%,0.66%,0.21%,4.46%,0.00%,-40.82%,-6.85%,-0.07538266959,-6.52%,-0.0153340104
8/31/2015,-0.93%,-1.57%,-7.05%,-0.25%,-0.53%,-6.06%,-7.07%,-0.09%,85.26%,3.64%,-0.008275909304,-9.25%,-0.06518935097
9/30/2015,-0.09%,0.55%,-3.94%,-3.50%,0.60%,-6.08%,-2.48%,0.25%,-14.88%,-1.82%,0.014438202,-3.18%,-0.05348868495
10/30/2015,-0.08%,0.62%,7.54%,0.33%,-0.12%,8.60%,10.77%,-0.19%,-48.60%,2.26%,0.06475180897,6.18%,0.05470322488
11/30/2015,0.62%,3.27%,-0.67%,-6.88%,-0.59%,1.33%,0.61%,-0.31%,6.80%,-6.99%,-0.1044367937,-2.56%,0.03207918817
12/31/2015,-0.24%,-1.55%,-1.88%,-6.03%,-0.74%,-3.18%,-1.91%,-0.25%,12.13%,-0.45%,-0.01863853239,-5.44%,-0.05594415653
1/29/2016,0.31%,0.98%,-6.24%,-4.44%,1.23%,-6.14%,-7.16%,0.65%,10.37%,5.27%,0.01863853239,-5.16%,-0.08967875654
2/29/2016,-0.95%,-1.41%,-0.97%,-0.24%,0.67%,-3.92%,-1.58%,0.06%,1.72%,10.37%,0.04648773206,-0.82%,-0.00223637606
3/31/2016,-0.40%,-3.76%,6.32%,4.15%,0.67%,4.61%,6.33%,0.08%,-38.74%,-0.85%,0.04182488129,12.19%,0.07408711282
4/29/2016,-0.08%,-1.60%,1.37%,9.26%,0.06%,-0.26%,-3.24%,-0.02%,11.82%,4.98%,0.149215617,0.41%,0.01658412802
